radius,norm_height,angle_degrees,Gauss_Curvature,Mean_Curvature,K1,K2,thickness,phh3
497.5599369874856,0.9717583454215659,-64.93574949083832,1.0427035304657923e-05,0.003242217696078826,0.003633386311376511,0.00285104908078114,55.59131604369573,64.52687
532.4058793217811,0.9546935267219899,-47.84223075935168,1.4403921722130635e-05,0.003809303586960047,0.0043291921936368105,0.0032894149802832826,55.67427941292907,60.462166
571.9915361155097,0.9491802642965705,-67.7371434278454,1.0810049609994659e-05,0.0033222054940903684,0.00382082583040462,0.002823585157776117,61.5029675096829,67.37305
591.5050130246066,0.9194848983307835,-65.6971273596799,1.390292779565764e-05,0.003718921860473223,0.004474218241777028,0.002963625479169418,65.93515631179514,64.28808
597.2499364984878,0.9302911464065453,-82.58222629080822,8.308997192868238e-06,0.002904792645737983,0.003782596226747483,0.0020269890647284837,65.02347204235687,63.8191
419.48707094512577,0.9833855377437094,-50.75856186973533,1.2572649948875838e-05,0.0035253058752875996,0.003968218570125947,0.003082393180449252,58.65035248396099,59.232704
562.5498117246838,0.9045325069942922,-54.51852893217277,2.0095122453880166e-05,0.004504426400721601,0.005468149761985124,0.0035407030394580775,61.003272631459424,53.733467
550.8902328630377,0.8908771729686376,-70.2938945514666,1.4518084709290037e-05,0.0037625906472316234,0.004784749060156333,0.0027404322343069143,63.02865049445118,57.16184
579.455637775452,0.9243339666931328,-51.81341002469492,1.8282602685863447e-05,0.004311860180754412,0.005014576530123528,0.003609143831385296,58.04014623823502,56.975937
554.2644055723762,0.9024162353593911,-88.23651372165119,2.7824524656811185e-06,0.0016683512038898627,0.002933751898124346,0.0004029505096553803,49.312994163260996,55.0652
525.4782178100725,0.9601247139441301,-83.76955835288543,8.255034960119948e-06,0.0029739168362091888,0.003744972838522171,0.0022028608338962074,65.31687130447777,65.129425
456.01934867911325,0.9743633201111206,-31.27188585519724,1.791148252821848e-05,0.004247177991899042,0.004806603658601556,0.0036877523251965276,63.33409567544459,53.384617
564.7701144858032,0.9191581352263938,-98.6988644992706,1.3045581214611713e-06,0.001492137580576638,0.0028335910122310477,0.00015068414892222784,53.790439769157274,56.70993
546.9308358064231,0.9422368366486734,-99.54526780956876,5.750316543092557e-06,0.002545738225196138,0.003630526075178716,0.0014609503752135594,64.8695202037884,62.19219
548.1272681048051,0.9277622882989545,-42.70966691307984,1.8931001659062372e-05,0.004403853277175943,0.005177307963152503,0.0036303985911993806,51.34121956851658,50.67948
489.4887052575669,0.9505371000341516,-29.441198555564853,1.810234398248157e-05,0.0042901462082195465,0.005095847204619881,0.0034844452118192133,54.34467961699913,46.289684
329.1627601312257,0.9851317982162867,-29.955940318118422,1.419945007016237e-05,0.0037982232271205566,0.004567177511694152,0.0030292689425469622,60.9792233283506,51.367306
490.7456306802948,0.8852629023012436,-85.53042751004816,6.495102415651085e-06,0.0024559998467462594,0.0035317010700832933,0.0013802986234092258,49.33110215692356,51.88134
380.11981680993574,0.9839599680598676,-84.74651651629922,6.728984457049518e-06,0.002674218778448564,0.0034092611631463027,0.0019391763937508257,59.90745958044241,58.98581
280.9352789510413,0.9921879591351984,-64.64657188454255,7.7613235915073e-06,0.0028575758406791532,0.003744876765141114,0.001970274916217193,58.354588265516455,54.637978
460.38026935920914,0.887874412252886,-59.43173946487998,4.5456995625646485e-06,0.002300248836432273,0.004101152887910138,0.0004993447849544076,57.59053866255944,48.15807
478.9575384592338,0.8811028235551797,-74.2899123934141,5.779041660101696e-06,0.0024086956888263135,0.0036358259080752336,0.0011815654695773933,55.94330719387218,50.824486
483.9339974914882,0.9151549988772324,-37.7383179563538,1.491460135773581e-05,0.003869058008370078,0.004708776497803123,0.003029339518937033,49.85316835024269,41.34478
468.0133547797266,0.8884127064139705,-103.4697115629155,-7.531781458409918e-07,0.0009137243797498501,0.002431029863183199,-0.0006035811036834986,46.398354442224225,50.39106
437.0207635739829,0.964676235667894,-115.64240541670708,4.532238174050325e-06,0.00239063865215874,0.003525040595266509,0.0012562367090509711,70.05278679942558,55.520763
421.5752048123105,0.9684184420675205,-19.312278498491878,1.4993825289981267e-05,0.003926664848526317,0.004798009909620769,0.0030553197874318653,57.44615164479552,46.05724
390.4600811560633,0.9436832439195754,-17.7641462893327,1.0258385106900566e-05,0.0031339254306967583,0.004361728804208511,0.0019061220571850058,48.7034467675371,39.57023
527.2680070985997,0.9209580232908091,-119.36245483304641,6.525166362007154e-07,0.0014749428215231019,0.0029252579512732365,2.4627691772966652e-05,59.179457144460834,48.40319
384.21312395479697,0.8788203832710169,-90.45538202199948,-2.3607395050226443e-06,0.0004722476214179427,0.002353450839113512,-0.0014089555962776266,53.51419616895456,51.211697
382.3053038726086,0.901347143367264,-39.768821481732175,6.524718665927924e-06,0.0023112659035740245,0.003597644810376962,0.0010248869967710876,46.34420658211472,43.25156
510.30249006211426,0.9435992465803881,-116.84011954176721,3.983689903448989e-06,0.0023366645376011966,0.0036542571458762375,0.0010190719293261556,65.40516920464583,53.35071
225.6335708793004,0.982888665611446,-17.394438847847766,5.782937071044888e-06,0.002723733647537377,0.004152184143322074,0.001295283151752679,55.38622774331318,46.655807
97.07682068435741,0.994169873470118,-66.71451369796509,3.417048261684953e-06,0.0022208405324751134,0.0035805989380532687,0.0008610821268969579,62.627990132889465,48.773544
321.21115545983423,0.969884262911095,-10.251234252888395,8.109624332286888e-06,0.003103440961311879,0.004503234360425415,0.0017036475621983417,52.265021058022256,42.558983
510.33577739311386,0.9006569043626382,-112.80351890475873,-1.636669474821367e-06,0.0005708301365046958,0.0020489097818987083,-0.0009072495088893167,53.839323352888314,47.901882
401.6062741421519,0.9187671727826708,-27.135466059207374,8.532879225540578e-06,0.0027532279646874337,0.003758428173154426,0.0017480277562204414,45.942474561208925,37.388496
218.99348915723303,0.9931030880410806,-113.63530284283287,2.174653957567165e-06,0.0019561072147787437,0.0032680517111585896,0.0006441627183988982,61.18160468368804,51.725643
318.4142313203494,0.8833590266841959,-62.63955924554156,-5.69285859687712e-06,6.854873751239532e-05,0.0027142053885565363,-0.0025771079135317463,49.69191360132396,50.989025
331.56309422601754,0.9852105096817265,-116.07388963635037,3.1844351257185438e-06,0.0020683448398672887,0.003125972547180037,0.0010107171325545406,64.72169957165752,55.284687
525.748515741769,0.9252706235211867,-136.46268990267708,1.3817643620752402e-06,0.001866083496873195,0.003392400657726626,0.0003397663360197636,72.9515054345107,38.458145
121.36808976471409,0.9862649934409515,-13.58110152544316,-2.04084138090731e-06,0.0015055241694130034,0.0036037231230669157,-0.000592674784240909,55.70881018536168,43.582394
286.4563578992155,0.9227404199184601,-12.647150805477565,-8.928368161483297e-07,0.0004283640733602432,0.0022367997552514484,-0.0013800716085309622,37.95545275013147,39.607986
279.35690520629623,0.8975491950263004,-32.768402589140464,-4.317074572927236e-06,0.00017298060800324255,0.002436912809435976,-0.0020909515934294915,41.39776154106929,44.823578
209.50823157410807,0.9749419791262768,3.6231059599664377,-4.418222522252693e-06,0.0014312776807779855,0.003988832209725401,-0.0011262768481694295,51.179344108986456,40.845955
448.2264619731563,0.8707760522817123,-121.58160136238087,-7.947474408101785e-07,0.0003543709212051569,0.0013573537276839835,-0.0006486118852736695,68.32248635419629,47.56724
