z_grid,area,stage,type,sample_id
0.0,1328.0121368725386,HH17,individual,sample_0
12.632496764654746,2666.7061956907314,HH17,individual,sample_0
25.264993529309493,4005.4002545089243,HH17,individual,sample_0
37.89749029396424,5344.094313327117,HH17,individual,sample_0
50.529987058618985,6750.507739517149,HH17,individual,sample_0
63.16248382327373,9082.121408524556,HH17,individual,sample_0
75.79498058792848,11413.735077531961,HH17,individual,sample_0
88.42747735258322,13745.348746539366,HH17,individual,sample_0
101.05997411723797,16164.15129159041,HH17,individual,sample_0
113.69247088189272,19134.958356622403,HH17,individual,sample_0
126.32496764654746,22105.765421654396,HH17,individual,sample_0
138.9574644112022,25076.572486686386,HH17,individual,sample_0
151.58996117585696,28009.902451007398,HH17,individual,sample_0
164.2224579405117,30797.54306665109,HH17,individual,sample_0
176.85495470516645,33585.18368229478,HH17,individual,sample_0
189.4874514698212,36372.82429793848,HH17,individual,sample_0
202.11994823447594,39083.55688687626,HH17,individual,sample_0
214.7524449991307,41589.28595025328,HH17,individual,sample_0
227.38494176378543,44095.0150136303,HH17,individual,sample_0
240.01743852844018,46600.74407700732,HH17,individual,sample_0
252.64993529309493,48940.49122892644,HH17,individual,sample_0
265.2824320577497,50959.4859909675,HH17,individual,sample_0
277.9149288224044,52978.480753008545,HH17,individual,sample_0
290.54742558705914,54997.47551504959,HH17,individual,sample_0
303.1799223517139,56842.87903533059,HH17,individual,sample_0
315.8124191163687,58437.666871076755,HH17,individual,sample_0
328.4449158810234,60032.454706822915,HH17,individual,sample_0
341.0774126456781,61627.242542569074,HH17,individual,sample_0
353.7099094103329,63088.94012974656,HH17,individual,sample_0
366.3424061749877,64404.95581073236,HH17,individual,sample_0
378.9749029396424,65720.97149171816,HH17,individual,sample_0
391.6073997042971,67036.98717270396,HH17,individual,sample_0
404.2398964689519,68181.78935474451,HH17,individual,sample_0
416.87239323360666,69184.00772923308,HH17,individual,sample_0
429.5048899982614,70186.22610372165,HH17,individual,sample_0
442.1373867629161,71188.44447821022,HH17,individual,sample_0
454.76988352757087,72049.92413428948,HH17,individual,sample_0
467.40238029222564,72822.8592855702,HH17,individual,sample_0
480.03487705688036,73595.7944368509,HH17,individual,sample_0
492.6673738215351,74368.72958813162,HH17,individual,sample_0
505.29987058618985,75077.47190051676,HH17,individual,sample_0
517.9323673508446,75756.28578184651,HH17,individual,sample_0
530.5648641154994,76435.09966317625,HH17,individual,sample_0
543.1973608801541,77113.913544506,HH17,individual,sample_0
555.8298576448088,77755.70368327218,HH17,individual,sample_0
