stage,timepoint,radius,norm_height,angle_degrees,thickness,phh3,Curvature,Gauss_Curvature,Mean_Curvature,K1,K2
hh17,2025-09-18-13-02,173.31714247942617,0.9366515258233435,84.81621344779171,46.18244489531804,80.53961,1.0511972236956756e-05,1.2802881371724782e-05,0.0035433095046206,0.0043845528738928,0.0027020661353484
hh17,2025-09-18-13-02,184.58908369087897,0.9157599567077398,59.79427363695348,45.9249671893664,77.2574,8.412958026308312e-06,4.313191451841652e-06,0.0025825823831108,0.0042127645738218,0.0009524001923999
hh17,2025-09-18-13-02,188.50567579355035,0.9495212489937378,57.73819310707154,46.54561276083714,73.77702,1.9911204496470145e-05,2.0730888751243057e-05,0.0046284321937115,0.0060660579190052,0.0031908064684177
hh17,2025-09-18-13-02,157.13996089865043,0.9650698958840636,91.97045154844908,45.10783516586725,80.38503,1.9017428689534355e-05,2.2333898829234848e-05,0.0048016982867727,0.0059343417361383,0.0036690548374072
hh17,2025-09-18-13-02,227.3625293378177,0.9120782260956032,133.43113271852872,35.54669889055559,51.81645,1.789333262366486e-05,1.0443227924037364e-05,0.0033985515321655,0.0047827113652506,0.0020143916990803
hh17,2025-09-18-13-02,221.40680313227443,0.9268489342502034,135.54963783041103,30.199892331209284,58.437992,1.9460930578138917e-05,1.4325976146146268e-05,0.0040598568552939,0.0057342524220859,0.002385461288502
hh17,2025-09-18-13-02,261.84412868820897,0.913760663294812,134.5548757881195,41.35963960958217,37.886284,2.541427864487529e-05,1.5174920227211866e-05,0.0043662189501606,0.0063557806723871,0.0023766572279341
hh17,2025-09-18-13-02,249.25585429735247,0.9049936988561536,140.72711451630255,39.75822286854364,44.97193,1.3826780517792413e-05,1.106221494751617e-05,0.0036969710816699,0.0054446125412377,0.0019493296221022
hh17,2025-09-18-13-02,160.91317922569243,0.9064736557207606,96.30538106208807,39.22465147444238,73.61489,3.44869234877952e-06,2.970791238773452e-06,0.0019567640079525,0.0031489235809167,0.0007646044349882
hh17,2025-09-18-13-02,172.7604297955206,0.9503522636201056,113.4572629939471,44.75499255541415,82.06594,9.89622690338355e-06,1.5305823929929434e-05,0.0040458478904806,0.0051955324684105,0.0028961633125507
hh17,2025-09-18-13-02,233.14881805445685,0.9422394957044128,150.28391626460723,32.183009545776784,54.6253,2.1398762006115576e-05,1.7027117315230404e-05,0.0046954499517607,0.0069350763275935,0.0024558235759278
hh17,2025-09-18-13-02,173.7553156201094,0.9311769418836892,105.58315369488332,44.30111496449891,79.31342,4.898314286753953e-06,9.241547120275326e-06,0.003030644692858,0.0038997404279539,0.0021615489577621
hh17,2025-09-18-13-02,180.9148551752639,0.9689855563901068,43.34464846753002,40.01195630078155,62.12183,3.559091792015591e-05,3.769753906959734e-05,0.0063397083678591,0.0082161389031001,0.0044632778326182
hh17,2025-09-18-13-02,142.17348665419,0.9787867011312208,68.87631360087042,43.05263759692024,72.41417,3.067170968131369e-05,3.393398500728697e-05,0.0059632708344888,0.0075147307998884,0.0044118108690892
hh17,2025-09-18-13-02,219.74273196024768,0.9485315397388216,32.64985057775044,40.12845040850743,61.295563,3.158287252682501e-05,2.7448080996368767e-05,0.0055043314380855,0.0075686376398981,0.003440025236273
hh17,2025-09-18-13-02,216.947099951733,0.9280406669453976,40.57540922945924,42.81805393961349,69.417625,1.837177646137833e-05,8.387913411270493e-06,0.0037742798952889,0.0063387262476149,0.001209833542963
hh17,2025-09-18-13-02,224.6403054362129,0.8185467798297452,39.25476969084082,47.52752160376174,71.98459,1.7053098079742242e-05,7.288487659098462e-06,0.0048785230878532,0.0090012294779288,0.0007558166977776
